Nombre;Descripción;Precio;Referencia interna;Rastrear inventario;Es pos bom product?;Unidades;Disponible en PDV;Categoria del producto 0;Categoria de PDV 0;Categoria de PDV 1
Espresso;45 ml;15.000;BEB001;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Cafe;Caliente
Espresso macchiato;;18.000;BEB002;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Cafe;Caliente
Espresso cortado;;18.000;BEB003;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Cafe;Caliente
Huevos benedictinos con salmón ahumado;;55.000;COM001;VERDADERO;VERDADERO;Unidades;VERDADERO;Para comer;Huevos benedictinos;Caliente
Huevos benedictinos;Lomo ahumado / Jamón crudo / Jamón de pavo;45.000;COM002;VERDADERO;VERDADERO;Unidades;VERDADERO;Para comer;Huevos benedictinos;Caliente
Huevos revueltos simple;;25.000;COM003;VERDADERO;VERDADERO;Unidades;VERDADERO;Para comer;Revueltos & omeletes;Caliente
Huevos revueltos con jamón de pavo;;35.000;COM004;VERDADERO;VERDADERO;Unidades;VERDADERO;Para comer;Revueltos & omeletes;Caliente
Huevos revueltos;Jamón crudo / Jamón y queso / Lomo ahumado / Panceta;30.000;COM005;VERDADERO;VERDADERO;Unidades;VERDADERO;Para comer;Revueltos & omeletes;Caliente
Americano;;18.000;BEB004;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Cafe;Caliente
Americano cortado;;18.000;BEB005;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Cafe;Caliente
Latte;;20.000;BEB006;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Cafe;Frío
Latte canela caliente;;25.000;BEB007;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Cafe;Caliente
Latte vainilla caliente;;25.000;BEB008;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Cafe;Caliente
Latte coco caliente;;25.000;BEB009;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Cafe;Caliente
Flat white;;22.000;BEB010;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Cafe;Caliente
Cappuccino;;22.000;BEB011;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Cafe;Caliente
Caramel latte caliente;;28.000;BEB012;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Cafe;Caliente
Mocha caliente;;30.000;BEB013;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Cafe;Caliente
Infusion ka´a yara;;15.000;BEB014;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Especiales;Caliente
Ka´a yara latte;;18.000;BEB015;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Especiales;Caliente
Chocolatada caliente;;20.000;BEB016;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Especiales;Caliente
Cocolatada caliente;;32.000;BEB017;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Especiales;Caliente
Ka´a yara caramel;;22.000;BEB018;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Especiales;Caliente
Leche dorada;;25.000;BEB019;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Especiales;Caliente
Leche dorada con leche de coco;;35.000;BEB020;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Especiales;Caliente
Chai latte;;30.000;BEB021;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Especiales;Caliente
Chai coco latte;;40.000;BEB022;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Especiales;Caliente
Matcha latte;;30.000;BEB023;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Especiales;Caliente
Coco matcha caliente;;40.000;BEB024;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Especiales;Caliente
V60;;35.000;BEB025;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Filtrados;Caliente
Chemex;;35.000;BEB026;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Filtrados;Caliente
Aeropress;;35.000;BEB027;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Filtrados;Caliente
Te verde (Taza);;12.000;BEB028;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Te e infusiones;Caliente
Te ceylan (Taza);;12.000;BEB029;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Te e infusiones;Caliente
Te rojo (Taza);;12.000;BEB030;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Te e infusiones;Caliente
Te de limon siciliano, menta y verde (Taza);;12.000;BEB031;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Te e infusiones;Caliente
Te de 7 heirbas (Taza);;12.000;BEB032;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Te e infusiones;Caliente
Te verde (Pava);;20.000;BEB033;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Te e infusiones;Caliente
Te ceylan (Pava);;20.000;BEB034;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Te e infusiones;Caliente
Te rojo (Pava);;20.000;BEB035;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Te e infusiones;Caliente
Te de limon siciliano, menta y verde (Pava);;20.000;BEB036;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Te e infusiones;Caliente
Te de 7 heirbas (Pava);;20.000;BEB037;VERDADERO;VERDADERO;Unidades;VERDADERO;Para beber;Te e infusiones;Caliente
