Nombre;Referencia interna;Rastrear inventario;Es pos bom product?;Unidades;Disponible en PDV;Categoria del producto;Categoria de PDV;Categoria de PDV;Precio
Espresso 45 ml;BEB001;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Cafe;Caliente;15.000
Espresso macchiato;BEB002;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Cafe;Caliente;18.000
Espresso cortado;BEB003;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Cafe;Caliente;18.000
Huevos benedictinos con salmón ahumado;COM001;VERDADERO;VERDADERO;Unidades;VERDADERO;COMIDAS;Huevos benedictinos;;55.000
Huevos benedictinos con lomo ahumado;COM002;VERDADERO;VERDADERO;Unidades;VERDADERO;COMIDAS;Huevos benedictinos;;45.000
Huevos benedictinos con jamón crudo;COM003;VERDADERO;VERDADERO;Unidades;VERDADERO;COMIDAS;Huevos benedictinos;;45.000
Huevos benedictinos con jamón de pavo;COM004;VERDADERO;VERDADERO;Unidades;VERDADERO;COMIDAS;Huevos benedictinos;;45.000
Huevos revueltos simple;COM005;VERDADERO;VERDADERO;Unidades;VERDADERO;COMIDAS;Revueltos & omeletes;;25.000
Huevos revueltos con jamón crudo;COM006;VERDADERO;VERDADERO;Unidades;VERDADERO;COMIDAS;Revueltos & omeletes;;30.000
Huevos revueltos con jamón de pavo;COM007;VERDADERO;VERDADERO;Unidades;VERDADERO;COMIDAS;Revueltos & omeletes;;35.000
Huevos revueltos con jamón y queso;COM008;VERDADERO;VERDADERO;Unidades;VERDADERO;COMIDAS;Revueltos & omeletes;;30.000
Huevos revueltos con lomo ahumado;COM009;VERDADERO;VERDADERO;Unidades;VERDADERO;COMIDAS;Revueltos & omeletes;;30.000
Huevos revueltos con panceta;COM010;VERDADERO;VERDADERO;Unidades;VERDADERO;COMIDAS;Revueltos & omeletes;;30.000
Americano;BEB004;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Cafe;Caliente;18.000
Americano cortado;BEB005;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Cafe;Caliente;18.000
Latte;BEB006;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Cafe;Frío;20.000
Latte canela caliente;BEB007;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Cafe;Caliente;25.000
Latte vainilla caliente;BEB008;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Cafe;Caliente;25.000
Latte coco caliente;BEB009;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Cafe;Caliente;25.000
Flat white;BEB010;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Cafe;Caliente;22.000
Cappuccino;BEB011;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Cafe;Caliente;22.000
Caramel latte caliente;BEB012;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Cafe;Caliente;28.000
Mocha caliente;BEB013;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Cafe;Caliente;30.000
Infusion ka´a yara;BEB014;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Especiales;Caliente;15.000
Ka´a yara latte;BEB015;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Especiales;Caliente;18.000
Chocolatada caliente;BEB016;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Especiales;Caliente;20.000
Cocolatada caliente;BEB017;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Especiales;Caliente;32.000
Ka´a yara caramel;BEB018;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Especiales;Caliente;22.000
Leche dorada;BEB019;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Especiales;Caliente;25.000
Leche dorada con leche de coco;BEB020;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Especiales;Caliente;35.000
Chai latte;BEB021;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Especiales;Caliente;30.000
Chai coco latte;BEB022;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Especiales;Caliente;40.000
Matcha latte;BEB023;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Especiales;Caliente;30.000
Coco matcha caliente;BEB024;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Especiales;Caliente;40.000
V60;BEB025;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Filtrados;Caliente;35.000
Chemex;BEB026;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Filtrados;Caliente;35.000
Aeropress;BEB027;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Filtrados;Caliente;35.000
Te verde (Taza);BEB028;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Te e infusiones;Caliente;12.000
Te ceylan (Taza);BEB029;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Te e infusiones;Caliente;12.000
Te rojo (Taza);BEB030;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Te e infusiones;Caliente;12.000
Te de limon siciliano, menta y verde (Taza);BEB031;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Te e infusiones;Caliente;12.000
Te de 7 heirbas (Taza);BEB032;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Te e infusiones;Caliente;12.000
Te verde (Pava);BEB033;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Te e infusiones;Caliente;20.000
Te ceylan (Pava);BEB034;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Te e infusiones;Caliente;20.000
Te rojo (Pava);BEB035;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Te e infusiones;Caliente;20.000
Te de limon siciliano, menta y verde (Pava);BEB036;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Te e infusiones;Caliente;20.000
Te de 7 heirbas (Pava);BEB037;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Te e infusiones;Caliente;20.000
Mineral con o sin gas 500ml;BEB038;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Agua;Frío;10.000
Agua premium (con y sin gas);BEB039;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Agua;Frío;10.000
Tonica;BEB040;VERDADERO;VERDADERO;Unidades;VERDADERO;BEBIDAS;Agua;Frío;10.000
Tostadas francesas con queso paraguay, frutas y panceta;COM011;VERDADERO;VERDADERO;Unidades;VERDADERO;COMIDAS;Tostadas francesas;;50.000
Sandwich de croissant de jamón y queso;COM012;VERDADERO;VERDADERO;Unidades;VERDADERO;COMIDAS;Sandwich de croissant;Sandwich de croissant;30.000
Sandwich de croissant de huevos revueltos;COM013;VERDADERO;VERDADERO;Unidades;VERDADERO;COMIDAS;Sandwich de croissant;Sandwich de croissant;35.000
