Producto;Categoria;Sub-categoria;Nivel 3
Espresso 45 ml;Bebidas calientes;Cafe;
Espresso macchiato;Bebidas calientes;Cafe;
Espresso cortado;Bebidas calientes;Cafe;
Americano;Bebidas calientes;Cafe;
Americano cortado;Bebidas calientes;Cafe;
Latte;Bebidas calientes;Cafe;
Latte canela caliente;Bebidas calientes;Cafe;
Latte vainilla caliente;Bebidas calientes;Cafe;
Latte coco caliente;Bebidas calientes;Cafe;
Flat white;Bebidas calientes;Cafe;
Cappuccino;Bebidas calientes;Cafe;
Caramel latte caliente;Bebidas calientes;Cafe;
Mocha caliente;Bebidas calientes;Cafe;
Infusion ka´a yara;Bebidas calientes;Especiales;
Ka´a yara latte;Bebidas calientes;Especiales;
Chocolatada caliente;Bebidas calientes;Especiales;
Cocolatada caliente;Bebidas calientes;Especiales;
Ka´a yara caramel;Bebidas calientes;Especiales;
Leche dorada;Bebidas calientes;Especiales;
Leche dorada con leche de coco;Bebidas calientes;Especiales;
Chai latte;Bebidas calientes;Especiales;
Chai coco latte;Bebidas calientes;Especiales;
Matcha latte;Bebidas calientes;Especiales;
Coco matcha caliente;Bebidas calientes;Especiales;
V60 deux;Bebidas calientes;Filtrados;
V60 quinto;Bebidas calientes;Filtrados;
V60 totem;Bebidas calientes;Filtrados;
V60 antillas;Bebidas calientes;Filtrados;
V60 descafeinado;Bebidas calientes;Filtrados;
Chemex deux;Bebidas calientes;Filtrados;
Chemex quinto;Bebidas calientes;Filtrados;
Chemex totem;Bebidas calientes;Filtrados;
Chemex antillas;Bebidas calientes;Filtrados;
Chemex descafeinado;Bebidas calientes;Filtrados;
Aeropress;Bebidas calientes;Filtrados;
Te verde;Bebidas calientes;Te e infusiones;
Te ceylan;Bebidas calientes;Te e infusiones;
Te rojo;Bebidas calientes;Te e infusiones;
Te de limon siciliano, menta y verde;Bebidas calientes;Te e infusiones;
Te de 7 heirbas;Bebidas calientes;Te e infusiones;
Mineral con o sin gas 500ml;Bebidas frias;Agua;
Tonica;Bebidas frias;Agua;
Americano frio;Bebidas frias;Cafe;
Americano cortado frio;Bebidas frias;Cafe;
Latte frio;Bebidas frias;Cafe;
Latte canela frio;Bebidas frias;Cafe;
Latte vainilla frio;Bebidas frias;Cafe;
Latte coco frio;Bebidas frias;Cafe;
Caramel latte frio;Bebidas frias;Cafe;
Mocha frio;Bebidas frias;Cafe;
Chocolatada fria;Bebidas frias;Cafe;
Cocolatada fria;Bebidas frias;Cafe;
Ka´a yara tonic fresh;Bebidas frias;Cafe;
Coffee tonic;Bebidas frias;Cafe;
Frappe vainilla;Bebidas frias;Frape;
Frappe mango;Bebidas frias;Frape;
Frappe choco;Bebidas frias;Frape;
Frappe frutos rojos;Bebidas frias;Frape;
Frappe mocha;Bebidas frias;Frape;
Frappe matcha;Bebidas frias;Frape;
Frappe coco matcha;Bebidas frias;Frape;
Frappe frutos secos y banana;Bebidas frias;Frape;
Cold brew black;Bebidas frias;Cold brew;
Cold brew con zumo de naranja;Bebidas frias;Cold brew;
Cold brew con frutos rojos;Bebidas frias;Cold brew;
Cold brew con mburukuja;Bebidas frias;Cold brew;
Cold brew con leche de coco;Bebidas frias;Cold brew;
Cococoldbrew;Bebidas frias;Cold brew;
Limonada;Bebidas frias;Jugos;
Jugo de durazno;Bebidas frias;Jugos;
Jugo de piña;Bebidas frias;Jugos;
Zumo de naranja;Bebidas frias;Jugos;
Mango cremoso;Bebidas frias;Jugos;
Jugo verde detox;Bebidas frias;Jugos;
Caipiriña;Bebidas frias;Cocteles;
Moscow mule;Bebidas frias;Cocteles;
Gin & tonic fresh gordons;Bebidas frias;Cocteles;
Gin & tonic red gordons;Bebidas frias;Cocteles;
Aperol tonic;Bebidas frias;Cocteles;
Cerveza artesanal suave;Bebidas frias;Cerveza artesanal;
Cerveza artesanal intermedia;Bebidas frias;Cerveza artesanal;
Cerveza artesanal fuerte;Bebidas frias;Cerveza artesanal;
Croissant sin relleno;Comidas;Croissants;
Croissant de queso;Comidas;Croissants;
Croissant jamon y queso;Comidas;Croissants;
Croissant jamon de pavo y queso;Comidas;Croissants;
Croissant con crema pastelera;Comidas;Croissants;
Croissant con dulce de leche;Comidas;Croissants;
Croissant con guayaba;Comidas;Croissants;
Croissant con nutella;Comidas;Croissants;
Sandwich de croissant de jamon y queso;Comidas;Sandwich de croissant;
Sandwich de croissant de huevos revueltos;Comidas;Sandwich de croissant;
Sandwich de croissant de bondiola;Comidas;Sandwich de croissant;
Mixto de jamon y queso pan lactal blanco;Comidas;Mixtos;
Mixto capresse pan lactal blanco;Comidas;Mixtos;
Mixto de jamon y queso pan lactal integral;Comidas;Mixtos;
Mixto capresse pan lactal integral;Comidas;Mixtos;
Mixto de jamon y queso masa madre;Comidas;Mixtos;
Mixto capresse masa madre;Comidas;Mixtos;
Mixto de jamon de pavo pan lactal blanco;Comidas;Mixtos;
Mixto de jamon de pavo pan lactal integral;Comidas;Mixtos;
Mixto de jamon de pavo masa madre;Comidas;Mixtos;
Mbeju mestizo;Comidas;Tipicas;
Mbeju extra queso;Comidas;Tipicas;
Mbeju jamon y queso;Comidas;Tipicas;
Mbeju capresse;Comidas;Tipicas;
Mbeju de queso azul;Comidas;Tipicas;
Chipita mestiza de la casa;Comidas;Tipicas;
Huevos revueltos simple con rucula y tostadas;Comidas;Revueltos & homeletes;
Huevos revueltos con jamon y queso;Comidas;Revueltos & homeletes;
Huevos revueltos con lomo ahumado;Comidas;Revueltos & homeletes;
Huevos revueltos con jamon crudo;Comidas;Revueltos & homeletes;
Huevos revueltos con panceta;Comidas;Revueltos & homeletes;
Huevos revueltos con jamon de pavo;Comidas;Revueltos & homeletes;
Omelette simple;Comidas;Revueltos & homeletes;
Omelette con jamon y queso;Comidas;Revueltos & homeletes;
Omelette con lomo ahumado;Comidas;Revueltos & homeletes;
Omelette con jamon crudo;Comidas;Revueltos & homeletes;
Omelette con panceta;Comidas;Revueltos & homeletes;
Omelette con jamon de pavo;Comidas;Revueltos & homeletes;
Huevos italy;Comidas;Revueltos & homeletes;
Huevos vyro chusco;Comidas;Revueltos & homeletes;
Tostada queso crema, frutas clasicas y miel;Comidas;Tostadas;
Tostada banana caramelizada, canela y miel;Comidas;Tostadas;
Tostada de masa madre con ricotta cremosa y frutas;Comidas;Tostadas;
Tostada de masa madre de aguacate, banana y miel;Comidas;Tostadas;
Bowl de frutas clasicas y miel;Comidas;Frutas y granolas;
Bowl de frutas clasicas, miel y granola;Comidas;Frutas y granolas;
Sandwich integral huevo, queso y verduras;Comidas;Opciones fit;Sandwich
Sandwich integral jamon, queso y verduras;Comidas;Opciones fit;Sandwich
Tapioca rellena huevos revueltos y muzza;Comidas;Opciones fit;Tapiocas rellenas
Tapioca rellena palmito y huevo duro;Comidas;Opciones fit;Tapiocas rellenas
Bruschetta de huevos revueltos y cherry;Comidas;Bruschettas;
Bruschetta de aguacate, rucula y huevo poche;Comidas;Bruschettas;
Bruschetta de tomates secos, rucula y pesto;Comidas;Bruschettas;
Bruschetta de espinaca cremosa y 2 huevos poche;Comidas;Bruschettas;
Bruschetta capresse muzza italiana;Comidas;Bruschettas;
Bruschetta de queso azul y frutos rojos;Comidas;Bruschettas;
Bruschetta de hongos cremosos y queso azul;Comidas;Bruschettas;
Bruschetta de jamon crudo, queso morbier y frutos rojos;Comidas;Bruschettas;
Bruschetta fusion;Comidas;Bruschettas;
Bruschetta de res;Comidas;Bruschettas;
Huevos benedictinos con jamon crudo artesanal;Comidas;Huevos benedictinos;
Huevos benedictinos con lomo ahumado;Comidas;Huevos benedictinos;
Huevos benedictinos con jamon de pavo;Comidas;Huevos benedictinos;
Huevos benedictinos con salmon ahumado;Comidas;Huevos benedictinos;
Tostadas francesas con queso paraguay, frutas y panceta;Comidas;Tostadas francesas;
Croque monsieur;Comidas;Sandwiches calientes;
Croque madame;Comidas;Sandwiches calientes;
Capresse grilled;Comidas;Sandwiches calientes;
Sandwich pollo y panceta pan de la casa blanco;Comidas;Sandwiches calientes;
Sandwich pollo y panceta pan de masa madre;Comidas;Sandwiches calientes;
Sandwich pollo y panceta pan keto;Comidas;Sandwiches calientes;
Sandwich de jamon de pavo y muzza;Comidas;Sandwiches frios;
Sandwich de lomo ahumado de la casa;Comidas;Sandwiches frios;
Sandwich de jamon crudo artesanal;Comidas;Sandwiches frios;
Sandwich de salmon ahumado de la casa;Comidas;Sandwiches frios;
Sandwich gourmet de pavo pan ciabatta xl;Comidas;Sandwiches frios;
Sandwich gourmet de pavo masa madre;Comidas;Sandwiches frios;
Sandwich capresse;Comidas;Sandwiches veggies;
Sandwich de tomates secos y queso;Comidas;Sandwiches veggies;
Sandwich de queso azul y nueces;Comidas;Sandwiches veggies;
Sandwich de hongos frescos;Comidas;Sandwiches veggies;
Milanesa de contramuslo con arroz kesu;Comidas;Platos fuertes;
Milanesa de contramuslo con ensalada;Comidas;Platos fuertes;
Milanesa de contramuslo con papas rusticas;Comidas;Platos fuertes;
Milanesa de contramuslo con spaghetti;Comidas;Platos fuertes;
Suprema grillada con arroz kesu;Comidas;Platos fuertes;
Suprema grillada con ensalada;Comidas;Platos fuertes;
Suprema grillada con papas rusticas;Comidas;Platos fuertes;
Suprema grillada con spaghetti;Comidas;Platos fuertes;
Medallones de lomito con arroz kesu;Comidas;Platos fuertes;
Medallones de lomito con ensalada;Comidas;Platos fuertes;
Medallones de lomito con spaghetti;Comidas;Platos fuertes;
Medallones de lomito con papas rusticas;Comidas;Platos fuertes;
Spaghetti con jamon y queso;Comidas;Platos fuertes;
Ensalada de la casa;Comidas;Ensaladas;
Ensalada caesar di mora;Comidas;Ensaladas;
Ensalada de queso azul y nueces;Comidas;Ensaladas;
Nuggets con papas rusticas;Comidas;Peques;
Spaghettis con jamon y queso peques;Comidas;Peques;
Picada gourmet para 1 persona;Comidas;Picadas gourmet;
Picada gourmet para 2 personas;Comidas;Picadas gourmet;
Picada gourmet para 3 personas;Comidas;Picadas gourmet;
Picada de 220;Comidas;Picadas gourmet;
Picada de 280;Comidas;Picadas gourmet;
Picada de 320;Comidas;Picadas gourmet;
Picada combinada;Comidas;Picadas gourmet;
Picada de 550 extra grande;Comidas;Picadas gourmet;
